Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1979, ecoregion2, 2, 142.62, 14.46, 60, 285, 0, 
1980, ecoregion2, 2, 106.64, 14.7, 64, 282, 0, 
1981, ecoregion2, 2, 99.19, 14.34, 63, 290, 0, 
1982, ecoregion2, 2, 126.63, 15.01, 0, 320, 0, 
1983, ecoregion2, 2, 124.96, 14.6, 52, 304, 0, 
1984, ecoregion2, 2, 123.88, 15.09, 0, 293, 0, 
1985, ecoregion2, 2, 118.35, 15.29, 50, 321, 0, 
1986, ecoregion2, 2, 89.07, 15.68, 26, 321, 0, 
1987, ecoregion2, 2, 119.51, 15.02, 57, 270, 0, 
1988, ecoregion2, 2, 94.58, 14.25, 58, 273, 0, 
1989, ecoregion2, 2, 146, 14.72, 46, 309, 0, 
1990, ecoregion2, 2, 125.48, 16.43, 0, 308, 0, 
1991, ecoregion2, 2, 110.55, 15.89, 0, 304, 0, 
1992, ecoregion2, 2, 125.81, 14.63, 20, 284, 0, 
1993, ecoregion2, 2, 113.53, 14.96, 59, 289, 0, 
1994, ecoregion2, 2, 117.39, 15.04, 51, 347, 0, 
1995, ecoregion2, 2, 135.17, 14.85, 52, 294, 0, 
1996, ecoregion2, 2, 131.03, 14.34, 61, 294, 0, 
1997, ecoregion2, 2, 112.17, 14.45, 28, 298, 0, 
1998, ecoregion2, 2, 125.02, 16, 0, 315, 0, 
1999, ecoregion2, 2, 114.97, 15.35, 40, 321, 0, 
2000, ecoregion2, 2, 99.41, 14.56, 44, 287, 0, 
2001, ecoregion2, 2, 89.04, 15.24, 0, 285, 0, 
2002, ecoregion2, 2, 114.34, 15.55, 53, 300, 0, 
2003, ecoregion2, 2, 153.73, 14.73, 48, 321, 0, 
2004, ecoregion2, 2, 117.54, 15.22, 51, 315, 0, 
2005, ecoregion2, 2, 107.97, 15.32, 39, 307, 0, 
2006, ecoregion2, 2, 117.91, 15.59, 52, 329, 0, 
2007, ecoregion2, 2, 80.49, 16.01, 55, 299, 0, 
2008, ecoregion2, 2, 109.98, 15.05, 0, 284, 0, 
2009, ecoregion2, 2, 128.01, 14.9, 49, 321, 0, 
2010, ecoregion2, 2, 109.93, 15.1, 58, 302, 0, 
2011, ecoregion2, 2, 109.29, 16.25, 45, 281, 0, 
2012, ecoregion2, 2, 101.82, 16.69, 0, 292, 0, 
2013, ecoregion2, 2, 135.26, 14.98, 73, 292, 0, 
