Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1275, 847.5, 0, 3.5, 0, 
10, -102, 924.2, 3228.3, 161.3, 4.11, 82.9, 
20, -48.7, 1132.2, 5033.7, 142.6, 3.31, 135.6, 
30, -100.7, 1303, 6409.7, 237.8, 3.19, 167, 
40, -182.8, 1438.9, 7997.3, 389.9, 2.41, 161.4, 
50, -99.2, 1687.2, 9297.2, 313.6, 2.11, 236.4, 
60, -78.8, 1902.1, 10315.7, 331.8, 2.25, 268.9, 
70, -63.3, 2082.6, 11058.8, 348.2, 2.38, 295.4, 
80, -49.8, 2238, 11578.7, 361.7, 2.51, 316.6, 
90, -41.3, 2366.2, 11959.7, 373.7, 2.64, 330.4, 
100, -35.9, 2473.9, 12254.5, 384.7, 2.74, 341.6, 
