Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
10, ACRU, 0, 0, 7059, 510, 
10, CAAL27, 0, 0, 4172, 297, 
10, CAGL8, 0, 0, 2643, 235, 
10, CAOV2, 0, 0, 135, 68, 
10, FRPE, 0, 0, 122, 71, 
10, JUVI, 0, 0, 0, 689, 
10, LIST2, 0, 0, 11390, 640, 
10, LITU, 0, 0, 1155, 411, 
10, NYBI, 0, 0, 1206, 135, 
10, NYSY, 0, 0, 5316, 482, 
10, PIEC2, 82219, 0, 6371, 435, 
10, PIPA2, 82219, 0, 0, 0, 
10, PITA, 82219, 0, 0, 0, 
10, PIVI2, 0, 0, 0, 0, 
10, QUAL, 0, 0, 2273, 804, 
10, QUCO2, 0, 0, 615, 410, 
10, QUFA, 0, 0, 2043, 0, 
10, QULA2, 0, 0, 202, 0, 
10, QULA3, 0, 0, 61, 0, 
10, QUMA3, 0, 0, 302, 0, 
10, QUNI, 0, 0, 5100, 0, 
10, QUPR2, 0, 0, 216, 135, 
10, QURU, 0, 0, 426, 231, 
10, QUST, 0, 0, 6225, 659, 
10, QUVE, 0, 0, 1124, 431, 
10, TADI2, 0, 0, 0, 0, 
20, ACRU, 0, 0, 567, 274, 
20, CAAL27, 0, 0, 217, 183, 
20, CAGL8, 0, 0, 125, 151, 
20, CAOV2, 0, 0, 12, 33, 
20, FRPE, 0, 0, 25, 76, 
20, JUVI, 0, 0, 0, 555, 
20, LIST2, 0, 0, 963, 560, 
20, LITU, 0, 0, 82, 279, 
20, NYBI, 0, 0, 136, 94, 
20, NYSY, 0, 0, 477, 336, 
20, PIEC2, 6239, 0, 380, 382, 
20, PIPA2, 6239, 0, 0, 330, 
20, PITA, 6239, 0, 0, 835, 
20, PIVI2, 0, 0, 0, 0, 
20, QUAL, 0, 0, 222, 608, 
20, QUCO2, 0, 0, 18, 226, 
20, QUFA, 0, 0, 133, 4154, 
20, QULA2, 0, 0, 6, 44, 
20, QULA3, 0, 0, 8, 80, 
20, QUMA3, 0, 0, 23, 100, 
20, QUNI, 0, 0, 557, 196, 
20, QUPR2, 0, 0, 15, 0, 
20, QURU, 0, 0, 55, 58, 
20, QUST, 0, 0, 460, 577, 
20, QUVE, 0, 0, 104, 272, 
20, TADI2, 0, 0, 0, 0, 
30, ACRU, 0, 0, 256, 485, 
30, CAAL27, 0, 0, 162, 301, 
30, CAGL8, 0, 0, 95, 230, 
30, CAOV2, 0, 0, 2, 60, 
30, FRPE, 0, 0, 3, 85, 
30, JUVI, 0, 0, 0, 986, 
30, LIST2, 0, 0, 362, 633, 
30, LITU, 0, 0, 8, 329, 
30, NYBI, 0, 0, 19, 112, 
30, NYSY, 0, 0, 95, 446, 
30, PIEC2, 0, 0, 132, 2462, 
30, PIPA2, 0, 0, 0, 0, 
30, PITA, 0, 0, 0, 0, 
30, PIVI2, 0, 0, 0, 0, 
30, QUAL, 0, 0, 44, 882, 
30, QUCO2, 0, 0, 8, 332, 
30, QUFA, 0, 0, 31, 2524, 
30, QULA2, 0, 0, 0, 0, 
30, QULA3, 0, 0, 0, 0, 
30, QUMA3, 0, 0, 8, 0, 
30, QUNI, 0, 0, 232, 0, 
30, QUPR2, 0, 0, 3, 69, 
30, QURU, 0, 0, 10, 196, 
30, QUST, 0, 0, 125, 755, 
30, QUVE, 0, 0, 12, 313, 
30, TADI2, 0, 0, 0, 0, 
40, ACRU, 0, 0, 1383, 1581, 
40, CAAL27, 0, 0, 895, 3019, 
40, CAGL8, 0, 0, 485, 1303, 
40, CAOV2, 0, 0, 25, 349, 
40, FRPE, 0, 0, 26, 204, 
40, JUVI, 0, 0, 0, 2133, 
40, LIST2, 0, 0, 1136, 2247, 
40, LITU, 0, 0, 183, 783, 
40, NYBI, 0, 0, 189, 560, 
40, NYSY, 0, 0, 757, 1044, 
40, PIEC2, 0, 0, 830, 7071, 
40, PIPA2, 0, 0, 0, 0, 
40, PITA, 0, 0, 0, 0, 
40, PIVI2, 0, 0, 0, 0, 
40, QUAL, 0, 0, 323, 2877, 
40, QUCO2, 0, 0, 11, 424, 
40, QUFA, 0, 0, 44, 0, 
40, QULA2, 0, 0, 4, 1310, 
40, QULA3, 0, 0, 9, 852, 
40, QUMA3, 0, 0, 7, 1611, 
40, QUNI, 0, 0, 613, 1606, 
40, QUPR2, 0, 0, 27, 0, 
40, QURU, 0, 0, 104, 655, 
40, QUST, 0, 0, 668, 2509, 
40, QUVE, 0, 0, 16, 640, 
40, TADI2, 0, 0, 0, 0, 
50, ACRU, 0, 0, 784, 312, 
50, CAAL27, 0, 0, 354, 349, 
50, CAGL8, 0, 0, 208, 264, 
50, CAOV2, 0, 0, 10, 83, 
50, FRPE, 0, 0, 11, 45, 
50, JUVI, 0, 0, 0, 421, 
50, LIST2, 0, 0, 685, 275, 
50, LITU, 0, 0, 115, 189, 
50, NYBI, 0, 0, 91, 71, 
50, NYSY, 0, 0, 461, 227, 
50, PIEC2, 82219, 0, 460, 378, 
50, PIPA2, 82219, 0, 0, 0, 
50, PITA, 82219, 0, 0, 0, 
50, PIVI2, 0, 0, 0, 0, 
50, QUAL, 0, 0, 105, 443, 
50, QUCO2, 0, 0, 17, 194, 
50, QUFA, 0, 0, 24, 898, 
50, QULA2, 0, 0, 1, 257, 
50, QULA3, 0, 0, 4, 113, 
50, QUMA3, 0, 0, 1, 278, 
50, QUNI, 0, 0, 418, 119, 
50, QUPR2, 0, 0, 11, 19, 
50, QURU, 0, 0, 34, 184, 
50, QUST, 0, 0, 376, 296, 
50, QUVE, 0, 0, 13, 224, 
50, TADI2, 0, 0, 0, 0, 
60, ACRU, 0, 0, 86, 444, 
60, CAAL27, 0, 0, 33, 419, 
60, CAGL8, 0, 0, 16, 320, 
60, CAOV2, 0, 0, 0, 90, 
60, FRPE, 0, 0, 5, 52, 
60, JUVI, 0, 0, 0, 630, 
60, LIST2, 0, 0, 36, 462, 
