MapCode,SpeciesName,CohortAge,CohortBiomass
0,PITA,10,10
60470,PITA,30,868.12
60470,PITA,40,7298.39
60470,LIST2,50,726.11
48647,PITA,20,600.27
48647,PITA,30,3137.31
48647,PITA,40,623.8100000000001
49268,PITA,10,11.11
49268,PITA,20,100.65
49268,PITA,30,762.3
49268,ACRU,20,333.3
49268,ACRU,60,396.33
49268,LIST2,10,31.35
49268,LIST2,20,333.41
49268,LIST2,30,56.54
49268,NYSY,10,46.09
49268,NYSY,30,61.71
49268,NYSY,40,275.55
49268,NYSY,50,164.67
49268,QUNI,10,42.68
49268,QUNI,20,80.63
49894,PITA,30,762.3
49894,PITA,40,3026.54
49811,ACRU,10,153.67
49811,ACRU,20,156.64000000000001
49811,LIST2,20,129.91
49811,LIST2,30,229.24
49811,NYBI,10,41.415
49811,QULA3,40,240.68
49348,PITA,30,762.3
49348,PITA,40,2821.665
49348,ACRU,50,241.12
49348,ACRU,60,564.3
49348,LIST2,10,85.36
49348,LIST2,20,174.79
49348,LIST2,30,376.31
49348,LIST2,40,985.49
49348,LITU,40,458.59
49391,PITA,30,4561.81
49391,PITA,40,2791.58
49391,LIST2,20,149.82
49391,LIST2,40,449.35
49391,NYSY,20,91.355
49391,QUFA,10,27.06
49391,QUNI,20,171.105
49391,QUST,30,134.31
48523,JUVI,50,419.76
48523,PITA,30,762.3
48523,ACRU,30,353.87
48523,ACRU,50,591.69
48523,ACRU,60,733.04
48523,QUAL,60,205.59
48523,QUAL,70,2522.96
48523,QUAL,80,3117.18
48523,QUAL,90,13346.63
48523,QUCO2,70,151.36
48523,QUST,70,491.15
48523,QUVE,60,482.24
49345,PITA,30,505.89
49345,PITA,40,2821.665
49345,ACRU,30,313.39
49345,ACRU,50,241.12
49345,ACRU,60,424.38
49345,FRPE,10,65.78
49345,FRPE,50,239.58
49345,LIST2,20,58.19
49345,LIST2,50,1933.14
49345,LIST2,60,2879.69
49345,LITU,10,37.73
49345,QUAL,60,113.52
49345,QUNI,10,28.05
49345,QUNI,40,255.2
49345,QUNI,50,562.43
49033,PIEC2,60,431.2
49033,PIVI2,10,179.52
49033,PIVI2,20,172.48
49033,PIVI2,40,241.175
49033,PIVI2,50,6414.1
49033,PIVI2,60,4749.36
49033,ACRU,20,160.875
49033,LIST2,10,31.35
49033,LIST2,20,149.82
49033,LIST2,30,229.24
49033,LIST2,40,473.22
49033,LIST2,50,1177.77
49033,LITU,10,48.4
49033,NYSY,20,91.355
49033,QUCO2,10,14.3
49542,ACRU,20,75.79
49542,ACRU,40,75.02
49542,ACRU,50,221.1
49542,ACRU,60,727.21
49542,NYSY,10,66.99
49542,NYSY,50,2405.48
49542,QUAL,60,203.5
49542,QUAL,90,4556.42
49542,QUCO2,60,431.64
49542,QUCO2,70,1512.83
49542,QUPR2,50,139.26
49542,QUPR2,60,138.27
49542,QUPR2,80,4522.9800000000005
49542,QUPR2,90,12130.25
49542,QURU,60,418
48921,ACRU,20,227.37
48921,ACRU,30,313.39
48921,ACRU,40,262.02
48921,ACRU,50,663.3
48921,ACRU,60,481.47
48921,ACRU,70,3544.09
48921,NYBI,30,423.61
48921,NYBI,40,1175.35
48921,QUNI,40,285.56
48921,QUNI,50,1381.16
48842,ACRU,10,54.89
48842,ACRU,50,107.25
48842,ACRU,60,424.38
48842,ACRU,70,1225.51
48842,CAGL8,60,153.23
48842,CAAL27,60,281.6
48842,LIST2,40,1796.08
48842,LIST2,50,517.44
48842,NYSY,30,74.91
48842,NYSY,40,2278.1
48842,QUAL,10,33.99
48842,QUAL,20,92.235
48842,QUAL,40,502.7
48842,QUAL,50,353.65
48842,QUAL,60,1680.69
48842,QUAL,70,1493.47
48842,QUAL,80,2781.9
48842,QUFA,20,130.13
48842,QUST,80,675.18
49385,PITA,30,762.3
49385,PITA,40,8482.87
49385,PIVI2,60,1836.34
49398,PITA,40,310.2
49398,CAGL8,50,75.24
49398,QUFA,20,130.13
49398,QUFA,50,197.89000000000001
49398,QUNI,30,971.63
49398,QUNI,40,5000.16
49398,QUNI,50,1337.16
49398,QUVE,40,25.52
49398,QUVE,50,151.47
48975,PITA,10,560.34
48975,PITA,20,1248.61
48975,PITA,30,1801.25
48975,PITA,40,2789.6
48975,ACRU,20,160.875
48975,ACRU,60,293.81
48975,LIST2,10,31.35
48975,LIST2,20,149.82
48975,LIST2,50,758.78
48975,NYSY,10,46.09
48975,QUAL,30,248.875
48975,QUAL,50,220.11
48975,QUAL,60,710.82
48975,QUAL,70,1794.98
48975,QUFA,60,1364.33
48975,QUFA,70,3932.28
48975,QUNI,10,101.2
48975,QUNI,30,241.83499999999998
48979,PITA,10,52.14
48979,PITA,20,2969.34
48979,PITA,30,2063.6
48979,PITA,40,2821.665
48979,ACRU,20,190.52
48979,ACRU,50,108.79
48979,LIST2,10,159.94
48979,LIST2,20,79.42
48979,LIST2,30,252.01
48979,LIST2,40,117.81
48979,LIST2,60,2372.26
48979,NYSY,30,81.07000000000001
48979,QUNI,20,165.33
48979,QUNI,30,78.76
48984,PITA,10,88.77
48984,PITA,20,264.11
48984,PITA,30,762.3
48984,PITA,40,13871.33
48984,ACRU,10,55.715
48984,ACRU,20,253
48984,ACRU,30,214.28
48984,ACRU,50,360.69
48984,ACRU,60,799.48
48984,LIST2,10,31.35
48984,LIST2,20,149.82
49707,PITA,30,136.84
48552,JUVI,40,928.95
48552,PIEC2,50,256.3
48552,PITA,30,762.3
48552,PITA,40,14995.75
48552,ACRU,50,288.2
48552,LIST2,30,54.12
48552,LIST2,40,449.35
48552,LIST2,50,489.06
48552,LITU,40,121.88
48552,NYSY,40,262.13
48552,QUAL,70,1607.98
48552,QUCO2,60,803.77
48552,QURU,60,239.58
48548,PITA,20,264.11
48548,PITA,30,762.3
48548,PITA,40,2353.23
48548,ACRU,20,160.875
48548,FRPE,10,58.52
48548,LIST2,10,31.35
48548,LIST2,20,149.82
48548,LIST2,30,229.24
48548,LIST2,40,907.0600000000001
48548,LIST2,50,451.44
49273,PIPA2,20,116.82000000000001
49273,PIPA2,50,790.9
49273,PITA,10,246.95
49273,PITA,20,264.11
49273,PITA,30,2931.17
49273,PITA,40,11807.51
49273,QUFA,20,76.89
49273,QUFA,40,127.6
49273,QUFA,50,184.8
49803,PIPA2,50,1512.28
49803,PIPA2,60,4887.19
49803,PITA,30,704.55
49803,PITA,40,15748.04
49803,PITA,50,6905.03
49803,ACRU,30,187.77
49803,LIST2,10,10.89
49803,LIST2,30,180.95
49803,LIST2,40,1426.3700000000001
49803,LIST2,50,615.34
49803,NYSY,10,46.09
49803,QUAL,10,18.59
49803,QUAL,40,461.83500000000004
49803,QUFA,30,221.43
49803,QUNI,20,171.105
49803,QUNI,30,1823.69
49095,FRPE,50,438.79
49095,FRPE,70,1338.81
49095,LIST2,50,2216.94
49095,LIST2,60,8260.45
49581,ACRU,50,400.84
49581,ACRU,60,324.83
49581,LIST2,10,31.35
49581,LIST2,20,149.82
49581,LIST2,30,601.8100000000001
49581,LIST2,40,378.62
49581,LIST2,50,2910.71
49581,LITU,30,493.79
49581,LITU,40,234.08
49581,NYSY,40,467.5
49581,QUAL,60,351.23
49581,QUNI,40,393.14
49340,PITA,30,3913.47
49340,PITA,40,3867.82
49340,ACRU,10,42.79
49340,ACRU,70,1157.8049999999998
49340,FRPE,10,40.59
49340,FRPE,20,207.57
49340,FRPE,30,2079.33
49340,FRPE,40,790.46
49340,LITU,10,143.77
49340,LITU,20,70.51
49340,LITU,30,72.27
49340,LITU,40,298.76
48678,PIPA2,10,5.94
48678,PIPA2,20,82.94
48678,PIPA2,40,168.08
48678,PIPA2,50,2038.74
48678,PIPA2,60,3877.28
48678,PITA,30,485.32
48678,PITA,40,396.66
48678,NYSY,20,91.355
48678,QUFA,30,229.02
48678,QUFA,40,134.09
48678,QUFA,50,399.57500000000005
48678,QUNI,40,285.56
48678,QUNI,50,406.56
49839,PIEC2,60,639.76
49839,PIEC2,70,1251.58
49839,PIVI2,50,584.21
49839,PIVI2,60,2103.31
49839,ACRU,50,355.96
49839,LIST2,30,94.6
49839,LIST2,40,449.35
49839,LIST2,50,2952.84
49839,LIST2,60,2124.76
49839,LITU,30,465.74
49839,LITU,40,589.71
49839,LITU,50,571.45
49839,LITU,60,266.86
49839,NYSY,60,5947.37
49899,PIEC2,50,203.94
49899,PITA,20,264.11
49899,PITA,30,6479.55
49899,PITA,40,510.62
49899,PIVI2,30,269.06
49899,PIVI2,40,77.66
49759,ACRU,10,16.06
49759,ACRU,20,160.875
49759,ACRU,40,262.02
49759,ACRU,50,740.96
49759,ACRU,60,424.38
49759,ACRU,70,1253.56
49759,CAGL8,50,142.12
49759,CAGL8,60,253
49759,CAGL8,80,933.79
49759,CAAL27,70,741.51
49759,LITU,30,189.31
49759,NYSY,30,70.51
49759,QUAL,50,121.55
49759,QUAL,60,534.27
49759,QUAL,80,351.12
49759,QUCO2,40,69.3
49759,QUCO2,60,1446.17
49759,QUVE,60,3444.21
49759,QUVE,70,3161.18
49751,ACRU,10,34.65
49751,ACRU,20,160.875
49751,ACRU,50,108.24
49751,ACRU,60,447.26
49751,CAGL8,60,106.04
49751,CAAL27,30,179.85
49751,LIST2,10,14.63
49751,LIST2,30,163.13
49751,LITU,20,631.62
49751,LITU,30,1465.75
49751,NYSY,30,76.78
49751,NYSY,50,959.09
49751,QUAL,50,95.59
49751,QUAL,70,469.04
49751,QUCO2,60,1733.38
49751,QUFA,60,880.55
49751,QUPR2,20,83.38
49751,QUPR2,50,108.46
49751,QUPR2,60,904.42
49751,QUPR2,70,998.69
49751,QUPR2,80,3126.42
49751,QUST,60,214.83
49751,QUST,70,365.09
49751,QUVE,10,31.79
49751,QUVE,60,482.24
