Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,DroughtMort,
0, ecoregion1, 1, 563224, 0, 3990.2, 10923, 0, 0, 0, 0, 3.5, 420.3, 0, 0, 0, 5133.8, 25.7, 914.6, 357, 77.7, 13.7, 0, 0, 39.9, 79.8, 2354.2, 1516.3, 0, 0, 24.5, 0.3, 4.6, 1.8, 0.4, 1.4, 0, 0, 4, 8, 94.2, 277.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 389.2, 0, 0, 0, 
10, ecoregion1, 1, 563224, -61, 3914, 5724.1, 162.8, 0.8, 51.6, 102.9, 5.71, 452, 2.7, 28.8, 0.1, 2648.2, 13.2, 348.8, 348.6, 86, 77.6, 0.5, 0.5, 885.6, 1046.7, 457.3, 1524.4, 0.9, 0, 13, 0.1, 1.8, 1.8, 0.4, 2.6, 0, 0, 9.6, 122.7, 14.2, 279.1, 0, -0.1, 0, 0, 0.3, 1, -1.8, 0, 81.82, 0.21, 0.1, 0, 0, 1.6, 1.2, 434.4, 4.92, 0, 0, 
20, ecoregion1, 1, 563224, -21.8, 4089, 6936.6, 162.1, 0.8, 33.9, 126.1, 6.98, 474, 3, 56.3, 0.3, 3204.5, 16, 299.9, 311.6, 99.1, 87.6, 0.7, 0.6, 1084.8, 1215.5, 260.5, 1528.2, 2, 0, 15.7, 0.2, 1.5, 1.6, 0.5, 2.9, 0, 0, 15.4, 142.1, 5.5, 279.7, 0.1, -0.2, 0, 0, 0.6, 1.1, -1.9, 0, 85.69, 0.37, 1.12, 0, 0, 0.7, 0.7, 453, 6.36, 0, 0, 
30, ecoregion1, 1, 563224, -33.5, 4368.7, 7303.5, 196.5, 1, 41.1, 141.2, 6.83, 487.8, 3.6, 43.6, 0.2, 3390.8, 17, 383.7, 264, 110.8, 97.2, 0.8, 0.6, 1273.7, 1313.1, 250.8, 1531.1, 1.4, 0, 16.3, 0.2, 1.9, 1.4, 0.6, 3.2, 0, 0, 19.1, 152, 4.7, 280.2, 0.1, -0.2, 0, 0, 0.8, 1.5, -2.4, 0, 80.22, 0.37, 0.2, 0, 0, 1.6, 0.9, 466.5, 6.1, 0, 0, 
40, ecoregion1, 1, 563224, -231.2, 4562.2, 7669.3, 524.2, 2.6, 119.3, 162.4, 6.22, 501.7, 7.1, 83.3, 0.4, 3522.1, 17.6, 269.3, 212.9, 109.2, 97.6, 0.8, 0.6, 1358.5, 1421.7, 247.4, 1534.7, 2.8, 0, 16.7, 0.2, 1.3, 1.1, 0.6, 3.2, 0, 0, 20.3, 164, 4.5, 280.7, 0.1, -0.4, 0, 0, 1.5, 3, -4.1, 0, 85.13, 1.35, 1.5, 0, 0, 4.2, 2.8, 479.5, 5.37, 0, 0, 
50, ecoregion1, 1, 563224, -61.1, 4731.6, 7920.7, 257.2, 1.3, 58.9, 163.1, 6.97, 516.6, 4.6, 51.1, 0.3, 3660.1, 18.3, 310.2, 172.6, 102.1, 92.1, 0.9, 0.7, 1406.8, 1517.8, 267.9, 1539.1, 1.8, 0, 17.7, 0.2, 1.5, 0.9, 0.5, 3, 0, 0, 22.4, 175.3, 4.8, 281.4, 0.1, -0.2, 0, 0, 1.1, 1.9, -2.8, 0, 87.75, 0.55, 0.63, 0, 0, 1.9, 1.4, 494.5, 6.39, 0, 0, 
60, ecoregion1, 1, 563224, -53.7, 4974.9, 8341.1, 261.9, 1.3, 60.1, 176.1, 6.86, 532.9, 4.9, 53.4, 0.3, 3867.5, 19.3, 333, 145.3, 101.8, 90.8, 0.9, 0.7, 1525.5, 1618.9, 286.8, 1543.7, 1.8, 0, 18.8, 0.2, 1.7, 0.8, 0.5, 3, 0, 0, 24.2, 187.8, 5.1, 282.2, 0.1, -0.2, 0, 0, 1.2, 2, -3.1, 0, 86.4, 0.6, 0.62, 0, 0, 2, 1.4, 509.6, 6.3, 0, 0, 
70, ecoregion1, 1, 563224, -46.4, 5182.6, 8481.4, 263.1, 1.3, 60.5, 181.5, 6.84, 548.4, 5.1, 54.5, 0.3, 3933.3, 19.7, 342.3, 126, 101.6, 90.1, 0.9, 0.7, 1609.9, 1723.3, 300.7, 1548.7, 1.8, 0, 19.1, 0.2, 1.7, 0.7, 0.5, 3, 0, 0, 25, 201.1, 5.4, 283, 0.1, -0.2, 0, 0, 1.2, 2.1, -3.3, 0, 86.4, 0.65, 0.62, 0, 0, 2, 1.4, 524.9, 6.29, 0, 0, 
80, ecoregion1, 1, 563224, -41, 5338.1, 8421.6, 261.6, 1.3, 60.5, 181.8, 6.9, 562.8, 5.3, 56.3, 0.3, 3903.4, 19.5, 341.3, 112, 100.9, 88.8, 0.9, 0.6, 1652.2, 1823.6, 308.4, 1553.9, 1.9, 0, 19, 0.2, 1.7, 0.6, 0.5, 2.9, 0, 0, 25.3, 214.3, 5.6, 283.8, 0.1, -0.2, 0, 0, 1.3, 2.3, -3.3, 0, 86.4, 0.69, 0.63, 0, 0, 2, 1.4, 539.4, 6.34, 0, 0, 
90, ecoregion1, 1, 563224, -24.9, 5467.2, 8249.6, 248.1, 1.2, 56.6, 182.6, 7.16, 575.9, 5.6, 48.2, 0.2, 3817.8, 19.1, 340.1, 100.3, 95.1, 85.6, 0.9, 0.6, 1683.4, 1912.6, 311.9, 1559.3, 1.6, 0, 19, 0.2, 1.7, 0.5, 0.5, 2.8, 0, 0, 25.5, 226.3, 5.9, 284.7, 0.1, -0.2, 0, 0, 1.3, 2.4, -3.4, 0, 86.4, 0.74, 0.66, 0, 0, 2, 1.3, 552.8, 6.55, 0, 0, 
