Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,PET,avgCWD,avgAET,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,meanSoilWaterContent,SoilWaterContent,AnaerobicEffect,
10, 7, ecoregion1, 1, 563224, 9.9, 25.7, 15.7, 10.1, 5.6, 3.12, 3.44, 2.39, 0.32, 0.7, 0, 0.14, 9.41, 1, 
10, 8, ecoregion1, 1, 563224, 11.8, 26.1, 15.1, 8.1, 7, 4.75, 4.32, 3.01, -0.44, 0.77, 0, 0.14, 9.53, 1, 
10, 9, ecoregion1, 1, 563224, 11.1, 20.5, 9.3, 3.6, 5.7, 20.22, 8.06, 5.53, -12.16, 0.74, 0, 0.15, 10.07, 1, 
10, 10, ecoregion1, 1, 563224, 8.6, 11.6, 3.6, 0.8, 2.8, 44.29, 16.52, 11.31, -27.78, 0.64, 0, 0.16, 10.67, 1, 
10, 11, ecoregion1, 1, 563224, 10.3, 10, 2.6, 0.2, 2.4, 61.76, 23.74, 16.04, -38.02, 0.71, 0.02, 0.19, 12.38, 0.9, 
10, 12, ecoregion1, 1, 563224, 2.7, 4.8, 0.8, 0, 0.8, 0.11, 5.54, 3.32, 5.43, 0.41, 0, 0.13, 9.5, 0.86, 
10, 1, ecoregion1, 1, 563224, 8, 1.3, 0.1, 0, 0.1, 0.01, 4.06, 2.62, 4.04, 0.62, 0, 0.12, 8.61, 1, 
10, 2, ecoregion1, 1, 563224, 4.7, 4.7, 0.8, 0, 0.8, 0.13, 6.61, 3.92, 6.49, 0.49, 0.02, 0.14, 9.78, 0.82, 
10, 3, ecoregion1, 1, 563224, 5.8, 10.3, 3.2, 0.8, 2.4, 1.55, 13.37, 8.71, 11.83, 0.53, 0.02, 0.16, 10.82, 0.96, 
10, 4, ecoregion1, 1, 563224, 7.4, 14.1, 5.5, 2.2, 3.3, 17.59, 10.24, 6.86, -7.35, 0.6, 0.02, 0.15, 9.98, 1, 
10, 5, ecoregion1, 1, 563224, 7.3, 19, 9.7, 5.3, 4.4, 7.81, 4.03, 2.72, -3.78, 0.59, 0, 0.13, 8.67, 1, 
10, 6, ecoregion1, 1, 563224, 7, 22.8, 12.9, 9.2, 3.7, 2.25, 2.64, 1.75, 0.39, 0.58, 0, 0.11, 8.14, 1, 
20, 7, ecoregion1, 1, 563224, 8.4, 26, 16, 11.4, 4.6, 2.52, 2.73, 1.72, 0.21, 0.63, 0, 0.13, 9.09, 1, 
20, 8, ecoregion1, 1, 563224, 8.6, 25.1, 14.1, 9.5, 4.6, 3.06, 2.67, 1.67, -0.39, 0.64, 0, 0.13, 8.86, 1, 
20, 9, ecoregion1, 1, 563224, 8.4, 23, 10.9, 6.4, 4.4, 4.07, 2.63, 1.63, -1.44, 0.63, 0, 0.12, 8.67, 1, 
20, 10, ecoregion1, 1, 563224, 4.8, 15.8, 5.4, 3.2, 2.2, 3.85, 1.9, 1.16, -1.95, 0.49, 0, 0.1, 7.66, 1, 
20, 11, ecoregion1, 1, 563224, 4.7, 10.6, 2.4, 1.2, 1.2, 11.88, 5.75, 3.44, -6.13, 0.49, 0, 0.11, 7.53, 1, 
20, 12, ecoregion1, 1, 563224, 10.8, 7.3, 1.3, 0.2, 1, 0.62, 13.29, 7.11, 12.67, 0.73, 0.02, 0.17, 11.54, 0.73, 
20, 1, ecoregion1, 1, 563224, 19.6, 6.4, 1, 0, 1, 0.55, 15.35, 7.38, 14.8, 1.08, 0.27, 0.28, 17.36, 0.32, 
20, 2, ecoregion1, 1, 563224, 13.9, 7.4, 1.3, 0, 1.3, 0.86, 16.7, 8.14, 15.85, 0.86, 0.27, 0.27, 17.61, 0.31, 
20, 3, ecoregion1, 1, 563224, 13.8, 9.4, 2.4, 0, 2.4, 1.9, 19.53, 10.1, 17.63, 0.85, 0.26, 0.27, 17.26, 0.42, 
20, 4, ecoregion1, 1, 563224, 13.9, 14.5, 5.2, 0, 5.2, 60.07, 30.79, 18.87, -29.28, 0.86, 0.22, 0.25, 15.92, 0.85, 
20, 5, ecoregion1, 1, 563224, 10.8, 20.9, 10.8, 1.4, 9.4, 66.76, 26.03, 16.67, -40.72, 0.73, 0.06, 0.19, 11.5, 1, 
20, 6, ecoregion1, 1, 563224, 7.3, 24.7, 14.4, 9.5, 4.9, 6.82, 3.81, 2.43, -3.01, 0.59, 0, 0.14, 9.45, 1, 
30, 7, ecoregion1, 1, 563224, 12.1, 25.4, 15.4, 8.3, 7, 5.6, 3.99, 2.4, -1.61, 0.79, 0, 0.13, 8.99, 1, 
30, 8, ecoregion1, 1, 563224, 15.2, 24.3, 13.5, 4.2, 9.3, 24.87, 11.23, 6.78, -13.64, 0.91, 0.01, 0.17, 10, 1, 
30, 9, ecoregion1, 1, 563224, 14.5, 21.3, 9.7, 1.4, 8.3, 56.55, 26.27, 15.74, -30.28, 0.88, 0.02, 0.18, 10.86, 1, 
30, 10, ecoregion1, 1, 563224, 4.1, 13.8, 4.5, 2.4, 2.1, 7.47, 3.99, 2.42, -3.48, 0.47, 0, 0.12, 8.74, 1, 
30, 11, ecoregion1, 1, 563224, 7.9, 8, 1.7, 0.5, 1.2, 29.31, 13.66, 8, -15.65, 0.62, 0.01, 0.15, 10.43, 0.94, 
30, 12, ecoregion1, 1, 563224, 10.3, 6.9, 1.3, 0.1, 1.2, 0.66, 18.22, 9.28, 17.56, 0.71, 0.03, 0.19, 12.9, 0.61, 
30, 1, ecoregion1, 1, 563224, 3.9, 3.7, 0.5, 0, 0.5, 0.1, 8.67, 4.55, 8.57, 0.45, 0.01, 0.14, 10.05, 0.76, 
30, 2, ecoregion1, 1, 563224, 7.3, 7.6, 1.6, 0.2, 1.4, 0.73, 15.47, 8.49, 14.74, 0.59, 0.02, 0.17, 11.61, 0.79, 
30, 3, ecoregion1, 1, 563224, 10.2, 10.5, 3.1, 0.4, 2.7, 2.45, 21.98, 12.67, 19.53, 0.71, 0.04, 0.19, 12.59, 0.9, 
30, 4, ecoregion1, 1, 563224, 11.1, 14.5, 5.6, 0.7, 4.9, 45.61, 28.11, 17.04, -17.5, 0.75, 0.05, 0.19, 12.44, 0.99, 
30, 5, ecoregion1, 1, 563224, 7, 19, 9.5, 4.6, 5, 21.2, 9.43, 5.92, -11.77, 0.58, 0.01, 0.14, 9.73, 1, 
30, 6, ecoregion1, 1, 563224, 6.3, 25.4, 15.2, 11.7, 3.5, 2.93, 2.94, 1.77, 0.01, 0.55, 0, 0.12, 8.5, 1, 
40, 7, ecoregion1, 1, 563224, 14.7, 25.5, 15.4, 5.1, 10.3, 21.21, 10.77, 6.89, -10.44, 0.89, 0.01, 0.17, 10.25, 1, 
40, 8, ecoregion1, 1, 563224, 18.4, 25.2, 14.2, 1.8, 12.5, 51.1, 23.43, 14.87, -27.67, 1.03, 0.04, 0.19, 10.62, 1, 
40, 9, ecoregion1, 1, 563224, 22.9, 24.4, 12, 0, 11.9, 116.82, 58.5, 37.08, -58.32, 1.22, 0.17, 0.24, 13.13, 1, 
40, 10, ecoregion1, 1, 563224, 16.2, 16.4, 5.7, 0, 5.7, 88.53, 37.89, 24.21, -50.63, 0.95, 0.13, 0.24, 14.86, 0.94, 
40, 11, ecoregion1, 1, 563224, 18.7, 7.8, 1.4, 0, 1.4, 83.3, 17.48, 9.61, -65.82, 1.05, 0.22, 0.3, 18.09, 0.3, 
40, 12, ecoregion1, 1, 563224, 18.5, 6.3, 1, 0, 1, 0.54, 16.05, 8.48, 15.5, 1.04, 0.29, 0.32, 19.2, 0.3, 
40, 1, ecoregion1, 1, 563224, 8.9, 1.7, 0.1, 0, 0.1, 0.05, 15.86, 10.2, 15.81, 0.66, 0.07, 0.21, 15.42, 1, 
40, 2, ecoregion1, 1, 563224, 8.6, 10.4, 2.4, 0, 2.4, 2.78, 22.08, 12.64, 19.3, 0.65, 0.14, 0.25, 16.51, 0.51, 
40, 3, ecoregion1, 1, 563224, 10.5, 7.6, 1.7, 0, 1.7, 0.96, 17.42, 9.69, 16.46, 0.72, 0.13, 0.24, 16.09, 0.4, 
40, 4, ecoregion1, 1, 563224, 13.7, 13.5, 4.7, 0.1, 4.7, 54.58, 29.73, 19.1, -24.85, 0.85, 0.17, 0.25, 15.58, 0.84, 
40, 5, ecoregion1, 1, 563224, 15.8, 22.7, 12.5, 0.5, 12, 96.5, 41.2, 27.62, -55.3, 0.93, 0.12, 0.22, 12.3, 1, 
40, 6, ecoregion1, 1, 563224, 7.2, 25.1, 14.8, 9.4, 5.4, 10.41, 5.23, 3.5, -5.18, 0.59, 0.01, 0.14, 9.52, 1, 
50, 7, ecoregion1, 1, 563224, 16.9, 26.5, 16.5, 5.8, 10.7, 16.87, 9.8, 6.34, -7.07, 0.97, 0.01, 0.17, 9.97, 1, 
50, 8, ecoregion1, 1, 563224, 10.5, 24.9, 14, 7.9, 6.1, 4.53, 3.87, 2.5, -0.65, 0.72, 0, 0.14, 9.71, 1, 
